Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	root_freqs[1]	root_freqs[2]	tree_length
0	-647.1475	-755.0473	107.8998	1.574977	1.28833	0.313973	0.686027	1.17257
6	-642.5765	-750.867	108.2905	1.501423	0.9453362	0.302927	0.697073	1.17257
12	-645.4308	-753.0038	107.5731	1.634338	1.952099	0.487821	0.512179	0.9897545
18	-643.523	-751.7774	108.2544	1.63671	0.9571053	0.34317	0.65683	1.072089
24	-640.6916	-749.2116	108.52	1.774605	0.7855069	0.35176	0.64824	0.8488511
30	-641.9476	-750.0644	108.1167	1.552224	1.35531	0.412541	0.587459	0.9353032
36	-644.2451	-752.1154	107.8702	1.555741	1.635501	0.371248	0.628752	0.9735145
42	-638.7901	-746.6314	107.8412	1.563035	1.635501	0.445929	0.554071	0.9955735
48	-646.2366	-754.1927	107.9561	1.445113	0.9407372	0.48463	0.51537	1.490159
54	-642.9868	-751.007	108.0203	1.656406	1.12215	0.451045	0.548955	1.121608
60	-639.2683	-747.5012	108.233	1.551124	0.897503	0.249921	0.750079	1.222919
66	-642.4265	-750.4281	108.0015	1.737151	1.324202	0.236869	0.763131	0.8855993
72	-645.7581	-753.6225	107.8644	2.119125	1.243779	0.366018	0.633982	0.6103263
78	-642.1448	-750.2026	108.0578	1.766921	0.9844672	0.327731	0.672269	1.107563
84	-648.5711	-756.397	107.826	1.621527	0.9453899	0.130292	0.869708	1.451434
90	-648.6712	-756.6444	107.9733	1.648593	1.348682	0.405538	0.594462	0.9898325
96	-649.9473	-757.5737	107.6265	1.591793	1.16003	0.287984	0.712016	1.468368
102	-642.929	-751.1019	108.1728	1.671917	1.272413	0.397807	0.602193	0.8079167
108	-636.814	-744.5423	107.7283	1.758826	1.332268	0.263204	0.736796	1.129985
114	-643.7186	-752.1613	108.4427	1.817886	0.6848819	0.319706	0.680294	1.021791
120	-638.4656	-746.5852	108.1196	1.808878	0.983396	0.366268	0.633732	1.010214
126	-642.2827	-750.3217	108.039	1.94736	1.174911	0.366855	0.633145	0.7244578
132	-639.7886	-747.7158	107.9272	2.010007	1.007935	0.267399	0.732601	0.9766105
138	-642.5785	-750.3993	107.8208	1.882628	1.248491	0.409234	0.590766	0.9905119
144	-635.1052	-743.1003	107.9951	1.907964	1.248491	0.508196	0.491804	0.7547969
150	-637.4927	-745.6862	108.1935	1.907964	1.030044	0.234795	0.765205	0.7547969
156	-643.972	-751.1901	107.2181	2.432559	1.673606	0.382227	0.617773	0.6328984
162	-644.3076	-752.3927	108.085	2.275661	0.8689355	0.280699	0.719301	0.5579759
168	-634.9478	-742.6814	107.7336	2.275661	1.231142	0.424545	0.575455	0.5579759
174	-636.0306	-743.8749	107.8443	2.128371	1.239381	0.454156	0.545844	0.6460661
180	-631.9182	-739.9061	107.9879	1.997713	1.239381	0.394855	0.605145	0.6148734
186	-636.404	-744.3861	107.9821	1.891027	1.164654	0.309701	0.690299	0.8866751
192	-637.6134	-745.2631	107.6497	1.961098	1.476717	0.343102	0.656898	0.8967178
198	-637.3979	-745.2827	107.8848	1.84004	1.424868	0.390007	0.609993	0.805746
204	-639.379	-747.1565	107.7776	1.761643	1.517347	0.560652	0.439348	0.9424179
210	-642.0971	-749.8106	107.7136	1.760501	1.240403	0.357206	0.642794	1.207749
216	-643.2914	-750.9336	107.6422	1.688288	1.60473	0.400952	0.599048	1.087014
222	-639.9327	-748.1104	108.1777	1.602778	1.084641	0.207061	0.792939	1.057881
228	-638.034	-746.2825	108.2484	1.705964	0.9708517	0.286155	0.713845	0.9971024
234	-640.1683	-748.4759	108.3076	1.951625	0.7616815	0.272782	0.727218	0.9226357
240	-645.2884	-753.2383	107.9499	1.514845	1.302586	0.265022	0.734978	1.171063
246	-647.2148	-754.8947	107.68	1.734424	1.408135	0.277654	0.722346	1.14158
252	-645.963	-753.97	108.007	1.592531	0.9667394	0.289822	0.710178	1.314988
258	-647.5966	-755.2034	107.6068	1.318818	1.166203	0.38026	0.61974	1.678918
264	-654.709	-762.1879	107.4789	1.466214	1.360504	0.314964	0.685036	1.54668
270	-653.4213	-761.9151	108.4938	1.834845	0.7062928	0.261349	0.738651	0.9228612
276	-660.2369	-768.1469	107.91	1.341091	1.157203	0.482531	0.517469	1.445285
282	-653.1867	-761.254	108.0673	1.315429	0.8209421	0.321405	0.678595	1.601266
288	-657.2055	-765.3149	108.1095	1.599936	0.8381906	0.462531	0.537469	1.338334
294	-654.9136	-762.854	107.9404	1.586574	1.058661	0.22318	0.77682	1.300009
300	-647.8444	-756.153	108.3086	1.423283	0.8812977	0.393324	0.606676	1.281097
306	-657.2981	-764.4065	107.1084	1.664494	1.514444	0.449965	0.550035	1.587319
312	-652.4894	-760.6811	108.1917	1.929491	1.06903	0.434443	0.565557	0.6557852
318	-649.4939	-757.6045	108.1107	1.926595	1.114699	0.310616	0.689384	0.7299715
324	-648.2064	-756.6681	108.4617	1.973221	0.742402	0.277132	0.722868	0.7286871
330	-646.4488	-754.5617	108.113	1.926739	0.9753994	0.4062	0.5938	0.9020109
336	-646.2352	-754.0141	107.779	1.80153	1.506989	0.355613	0.644387	0.9056652
342	-645.0932	-752.5536	107.4604	1.748587	1.588911	0.422493	0.577507	1.204713
348	-646.4316	-754.195	107.7634	1.745966	1.48307	0.500827	0.499173	0.9991809
354	-650.4284	-758.2217	107.7933	1.709559	1.410513	0.339169	0.660831	1.058794
360	-641.382	-749.0333	107.6513	1.783575	1.286138	0.339169	0.660831	1.20847
366	-645.3549	-752.834	107.479	1.75276	1.518915	0.519072	0.480928	1.227818
372	-647.6118	-755.7185	108.1067	1.796496	1.042516	0.217514	0.782486	0.9766979
378	-655.1411	-762.9575	107.8164	1.583906	1.492074	0.255623	0.744377	1.097109
384	-642.3871	-750.2616	107.8746	1.637542	1.155442	0.284485	0.715515	1.238283
390	-655.1939	-763.478	108.2841	1.70497	1.009907	0.329918	0.670082	0.9197319
396	-664.0969	-772.3421	108.2452	1.596088	1.08195	0.489108	0.510892	1.00123
402	-651.2175	-758.5959	107.3784	1.707295	1.983371	0.360707	0.639293	1.089186
408	-646.5418	-755.0457	108.5039	1.911865	0.6868999	0.344333	0.655667	0.8520327
414	-637.6685	-745.7593	108.0908	2.142083	0.8786125	0.251923	0.748077	0.791023
420	-636.4146	-744.6097	108.1951	2.036169	0.9114464	0.442739	0.557261	0.7420342
426	-645.5954	-753.8782	108.2828	1.88921	0.9803331	0.311789	0.688211	0.7221623
432	-631.7126	-739.5318	107.8192	1.902528	1.574079	0.299948	0.700052	0.6273211
